Lot Area,Gr Liv Area,TotRms AbvGrd,Year Built,Year Remod/Add,Garage Cars,Total Bsmt SF,Overall Qual,Bldg Type,House Style,Kitchen Qual,Neighborhood,Real_Price,Predicted_Price
15300,1264,7,1965,1977,2.0,1068.0,5,1Fam,1Story,TA,Mitchel,169000.0,158928.7
3768,1452,6,1999,1999,2.0,691.0,7,TwnhsE,2Story,Gd,Somerst,156000.0,161344.98
12003,1968,8,2009,2010,3.0,774.0,8,1Fam,2Story,Ex,Other,269500.0,286443.75
8250,1991,9,1895,2006,0.0,957.0,5,2fmCon,2Story,TA,IDOTRR,119600.0,128509.18
10010,1389,6,1974,1975,2.0,1389.0,5,1Fam,1Story,TA,Mitchel,170000.0,152873.88
10125,1734,8,1977,1977,2.0,0.0,5,Duplex,1.5Fin,Gd,Mitchel,126000.0,135442.77
10541,2037,8,1996,1996,2.0,672.0,7,1Fam,SLvl,Gd,SawyerW,229000.0,210874.2
13053,1848,8,1923,2000,2.0,833.0,6,1Fam,1.5Fin,Gd,BrkSide,207000.0,212714.06
9316,1614,7,2005,2005,2.0,1614.0,7,1Fam,1Story,Gd,CollgCr,225000.0,232134.78
12900,1560,7,1912,2009,0.0,780.0,6,1Fam,2Story,Gd,OldTown,159900.0,137647.36
8574,1232,6,1916,2000,2.0,816.0,6,1Fam,1Story,Gd,Crawfor,147500.0,143477.77
6240,1342,6,2006,2007,2.0,1342.0,8,TwnhsE,1Story,Gd,NridgHt,219500.0,220609.6
8450,890,5,1968,1968,1.0,890.0,5,2fmCon,1Story,TA,Sawyer,115000.0,119917.39
14781,1787,7,2001,2002,3.0,1753.0,8,1Fam,1Story,Gd,CollgCr,275000.0,285941.8
12366,729,5,1945,1950,0.0,0.0,3,1Fam,1Story,TA,IDOTRR,51689.0,64701.965
6000,1090,5,1940,2006,1.0,720.0,6,1Fam,1.5Fin,TA,IDOTRR,120000.0,121578.71
3523,1151,5,2006,2007,2.0,1141.0,8,TwnhsE,1Story,Gd,Somerst,166000.0,188691.12
9750,984,5,1959,1959,1.0,984.0,5,1Fam,1Story,Fa,OldTown,110000.0,119470.49
1900,1092,5,1970,1970,0.0,546.0,4,TwnhsE,2Story,TA,Other,88250.0,78738.63
8800,1054,6,1963,1963,2.0,936.0,6,1Fam,SFoyer,Gd,NAmes,137500.0,153901.52
8544,1040,6,1950,1950,2.0,0.0,3,Duplex,1Story,TA,NAmes,81400.0,87874.69
2665,1475,6,1976,1976,1.0,550.0,5,TwnhsE,2Story,TA,Other,129500.0,122446.88
8990,1498,5,2006,2006,2.0,1498.0,7,1Fam,1Story,Gd,CollgCr,204900.0,235294.4
14260,2198,9,2000,2000,3.0,1145.0,8,1Fam,2Story,Gd,NoRidge,250000.0,300812.7
9612,1468,6,2008,2009,3.0,1468.0,8,1Fam,1Story,Gd,Somerst,244600.0,250488.77
7436,894,5,1960,1960,2.0,894.0,4,1Fam,1Story,TA,NAmes,141500.0,111806.37
8125,1836,8,2008,2009,2.0,1836.0,8,1Fam,1Story,Gd,Somerst,264500.0,299288.66
8212,1298,6,1941,1950,1.0,720.0,5,1Fam,1.5Fin,TA,Edwards,122000.0,118827.914
10936,1504,7,2006,2006,2.0,1504.0,8,1Fam,1Story,Gd,Somerst,199000.0,248408.16
11767,1560,7,1956,1956,1.0,1150.0,5,1Fam,1Story,TA,Edwards,103500.0,138384.97
8298,1564,6,2006,2007,2.0,1546.0,8,1Fam,1Story,Ex,Other,267300.0,261675.67
16287,1351,7,1925,1950,2.0,901.0,5,1Fam,1.5Fin,TA,Edwards,122000.0,139848.2
14572,1530,7,2004,2004,3.0,1530.0,7,1Fam,1Story,Gd,Gilbert,259000.0,230467.6
7242,1270,6,2005,2006,2.0,1270.0,7,1Fam,1Story,Gd,CollgCr,175900.0,183795.94
6390,984,4,1954,1954,1.0,936.0,6,1Fam,1.5Unf,TA,NAmes,112500.0,123376.19
18494,1324,6,2005,2005,2.0,1324.0,6,1Fam,1Story,Gd,Gilbert,199500.0,186802.88
1974,988,5,1973,2006,1.0,526.0,4,Twnhs,SFoyer,TA,Other,105000.0,98125.88
9428,1874,8,2007,2008,3.0,955.0,8,1Fam,2Story,Gd,Somerst,297900.0,260822.84
3907,1020,4,1988,1988,2.0,1004.0,8,TwnhsE,1Story,TA,Other,200000.0,167344.66
13204,1458,6,2006,2007,2.0,608.0,7,1Fam,2Story,Gd,Gilbert,168165.0,176439.5
12090,1422,7,1981,1981,2.0,1422.0,6,1Fam,1Story,Gd,NWAmes,175500.0,180912.1
7627,1701,8,1920,1950,0.0,600.0,4,2fmCon,2Story,Fa,OldTown,94550.0,85843.55
7713,1456,7,2007,2007,2.0,728.0,7,1Fam,2Story,Gd,Gilbert,177594.0,172919.78
11050,1916,8,1998,1999,3.0,1049.0,8,1Fam,2Story,Gd,Mitchel,254900.0,238476.11
9900,1392,6,1915,1950,0.0,1212.0,5,2fmCon,1.5Fin,TA,Other,100000.0,120934.25
3735,1452,6,1999,1999,2.0,691.0,7,TwnhsE,2Story,Gd,Somerst,183900.0,161344.98
12299,1664,7,1978,1985,2.0,1529.0,7,1Fam,1Story,Gd,NWAmes,213000.0,215292.9
12546,1440,7,1981,1981,2.0,1440.0,6,1Fam,1Story,Gd,NWAmes,182900.0,185460.72
11606,2080,9,1969,1969,2.0,1040.0,5,1Fam,2Story,Fa,NAmes,135000.0,163060.31
9215,1218,4,2009,2010,2.0,1218.0,7,1Fam,1Story,Gd,Somerst,204500.0,204666.55
10320,1308,6,1915,1978,2.0,880.0,5,1Fam,1.5Fin,TA,IDOTRR,120000.0,129159.02
9156,1489,7,1968,1968,2.0,1489.0,6,1Fam,1Story,Gd,NWAmes,185750.0,177114.36
9927,1083,5,1976,1976,2.0,1047.0,7,1Fam,SFoyer,TA,NWAmes,172000.0,169391.89
9000,1375,6,1937,1950,1.0,780.0,6,1Fam,1.5Fin,Gd,IDOTRR,141000.0,138334.17
4800,672,4,1940,1950,1.0,672.0,5,1Fam,1Story,TA,OldTown,64000.0,92067.164
12358,1382,7,1941,1950,2.0,720.0,5,1Fam,1.5Fin,TA,OldTown,128500.0,133049.47
12180,1053,5,1938,2007,0.0,585.0,5,1Fam,1.5Fin,Ex,Edwards,120000.0,117501.33
10402,1226,6,2009,2009,3.0,1226.0,7,1Fam,1Story,Gd,CollgCr,198900.0,205586.17
10890,2592,12,1923,1950,0.0,1296.0,5,Duplex,2Story,TA,Other,150000.0,152148.83
9400,1824,8,1971,1971,0.0,912.0,6,Duplex,2Story,TA,Mitchel,139000.0,137234.86
14115,1811,6,1956,2004,2.0,1073.0,6,1Fam,1Story,Ex,Crawfor,230000.0,230572.45
11500,845,5,1957,1957,1.0,0.0,4,1Fam,1Story,TA,Edwards,84000.0,88001.16
13650,1920,8,1958,1958,2.0,1052.0,5,1Fam,1.5Fin,Gd,Sawyer,172500.0,176248.12
8304,1837,7,1997,1998,2.0,941.0,6,1Fam,2Story,TA,SawyerW,187000.0,188991.16
11235,999,6,1963,1963,1.0,925.0,5,2fmCon,SFoyer,TA,Sawyer,130000.0,127586.35
15138,2794,9,1995,1996,3.0,1462.0,8,1Fam,2Story,Ex,NoRidge,403000.0,379516.8
7175,1217,5,1991,1991,2.0,1217.0,6,TwnhsE,1Story,Gd,SawyerW,151000.0,156540.84
3907,1034,4,1989,1989,2.0,982.0,8,TwnhsE,1Story,Gd,Other,185000.0,180881.72
8900,1056,5,1966,1966,1.0,1056.0,4,1Fam,1Story,TA,SawyerW,107000.0,124045.61
10896,3395,12,1914,1995,0.0,1440.0,6,2fmCon,2.5Fin,Fa,Other,200000.0,204953.08
10355,1214,5,1967,1967,1.0,1214.0,5,1Fam,1Story,TA,NAmes,143000.0,138951.11
10206,1563,6,2007,2007,3.0,1563.0,8,1Fam,1Story,Gd,Somerst,245000.0,252752.1
7200,1768,7,1937,1950,1.0,731.0,5,1Fam,1.5Fin,Gd,Other,175000.0,153226.95
10041,1915,8,1992,1992,2.0,908.0,8,1Fam,2Story,Gd,SawyerW,220000.0,219311.53
6120,854,5,1929,2001,2.0,832.0,7,1Fam,1.5Unf,TA,BrkSide,132000.0,128958.52
8973,1053,6,1958,1991,2.0,1008.0,5,1Fam,1Story,Ex,NAmes,150000.0,144757.48
13418,2452,9,2004,2005,3.0,1117.0,8,1Fam,2Story,Gd,NridgHt,309000.0,315505.28
6285,1044,7,1976,1976,2.0,960.0,6,1Fam,SLvl,TA,Edwards,133500.0,135473.77
9278,1092,5,2007,2008,0.0,1092.0,5,1Fam,1Story,TA,Mitchel,146000.0,136257.17
11457,1412,6,1988,1988,2.0,1392.0,6,1Fam,1Story,Gd,Other,175000.0,175240.33
10320,1484,6,1910,1950,1.0,771.0,4,1Fam,1.5Fin,TA,IDOTRR,50000.0,98253.234
8749,1725,6,2002,2002,2.0,840.0,7,1Fam,2Story,Gd,CollgCr,198500.0,204241.1
10261,1792,8,2000,2000,2.0,936.0,6,1Fam,2Story,TA,Gilbert,186500.0,189912.23
9000,1335,6,2006,2007,2.0,1335.0,7,1Fam,1Story,Gd,Somerst,210400.0,199898.73
12493,1100,6,1960,1960,1.0,1100.0,4,1Fam,1Story,TA,NAmes,141000.0,127669.97
8760,1500,7,2006,2006,2.0,1489.0,8,1Fam,1Story,Gd,CollgCr,212999.0,238251.73
13695,1114,6,2003,2004,2.0,1114.0,6,1Fam,1Story,Gd,SawyerW,155000.0,163123.78
11367,1989,7,2002,2002,2.0,1065.0,8,1Fam,2Story,Gd,CollgCr,255000.0,252421.6
21750,1771,9,1960,2006,2.0,0.0,5,1Fam,1Story,TA,Mitchel,115000.0,172639.98
10625,1662,8,2006,2007,3.0,1652.0,7,1Fam,1Story,Ex,Somerst,291000.0,257693.95
6000,1522,7,1926,1950,0.0,1008.0,5,1Fam,1.5Fin,TA,Other,102000.0,130382.13
5160,892,5,1923,1950,0.0,858.0,4,1Fam,SFoyer,Gd,IDOTRR,70000.0,91768.766
8487,1500,6,2004,2004,2.0,1500.0,7,1Fam,1Story,Gd,CollgCr,190000.0,226079.56
11075,1968,7,1969,1969,2.0,784.0,5,1Fam,2Story,TA,Mitchel,172000.0,161451.5
2268,1626,6,2003,2004,2.0,764.0,7,Twnhs,2Story,Gd,NridgHt,173000.0,168708.33
11050,1820,8,1996,1997,3.0,910.0,7,1Fam,2Story,Gd,Mitchel,213000.0,225674.14
1495,1092,5,1970,1970,0.0,546.0,4,TwnhsE,2Story,TA,Other,93900.0,78738.63
12450,1094,6,2003,2004,2.0,1094.0,5,1Fam,1Story,Gd,SawyerW,149000.0,155471.86
4043,1069,4,1977,1977,2.0,1069.0,6,TwnhsE,1Story,TA,Other,127500.0,140032.78
10615,1699,7,1900,1970,2.0,978.0,3,2fmCon,2Story,TA,OldTown,95000.0,104461.1
11058,1564,6,2007,2007,3.0,1564.0,7,1Fam,1Story,Gd,CollgCr,218836.0,233326.42
13200,1570,5,1958,1958,2.0,1395.0,6,1Fam,1Story,TA,NAmes,166800.0,166483.64
12228,1740,8,2006,2006,3.0,1721.0,7,1Fam,1Story,Gd,NridgHt,293000.0,254732.77
8128,1062,6,1954,1954,1.0,1062.0,6,1Fam,1Story,TA,NAmes,131000.0,132782.39
10738,1093,6,1966,1966,2.0,1093.0,6,1Fam,1Story,TA,NWAmes,158500.0,144524.38
8917,1584,8,1967,1967,2.0,1584.0,5,Duplex,1Story,TA,NAmes,119000.0,141301.7
7000,1347,5,1910,1991,0.0,1117.0,5,2fmCon,2Story,TA,Edwards,107500.0,105079.69
9144,1716,8,1915,2004,2.0,810.0,6,1Fam,1.5Fin,Gd,BrkSide,162500.0,183065.77
8396,1986,9,2003,2003,2.0,847.0,7,1Fam,2Story,Gd,Gilbert,213000.0,215464.42
8413,2362,8,1998,1998,2.0,1220.0,8,1Fam,2Story,Gd,Somerst,312500.0,295806.34
9520,930,5,1953,1953,1.0,911.0,4,1Fam,1Story,TA,Edwards,99000.0,107082.95
21533,2049,9,1996,1997,2.0,1065.0,7,1Fam,2Story,Gd,CollgCr,210900.0,253034.03
3830,1726,6,2008,2008,2.0,1726.0,6,TwnhsE,1Story,Gd,Somerst,222000.0,249000.64
19550,1518,5,1940,2007,0.0,1580.0,5,1Fam,1Story,Fa,Edwards,260000.0,142369.9
10708,1867,7,1955,1993,1.0,1617.0,5,1Fam,1Story,TA,Other,190000.0,172896.69
2280,1055,4,1975,1975,2.0,1057.0,7,Twnhs,1Story,TA,Other,123000.0,137208.03
10552,1700,6,1959,1959,2.0,1398.0,5,1Fam,1Story,Gd,NAmes,165500.0,163584.6
8405,1367,7,1900,1950,1.0,861.0,5,1Fam,1.5Fin,TA,Edwards,119000.0,108007.26
6615,1432,6,1923,1950,1.0,1022.0,6,1Fam,1Story,Gd,BrkSide,149000.0,137195.34
16770,1712,8,2002,2003,3.0,1712.0,8,1Fam,1Story,Gd,NridgHt,286500.0,282296.12
9044,2538,8,1996,1997,3.0,1325.0,8,1Fam,2Story,Gd,NoRidge,330000.0,321454.22
8050,1107,5,1967,1993,1.0,949.0,5,1Fam,1Story,Gd,NAmes,127000.0,138006.19
50102,1650,6,1958,1958,2.0,1632.0,6,1Fam,1Story,TA,Other,250764.0,224715.23
7614,1376,7,1905,1950,1.0,738.0,3,1Fam,2Story,TA,OldTown,96900.0,89222.78
7742,955,6,1966,1966,1.0,955.0,5,1Fam,1Story,TA,Sawyer,127000.0,125633.93
7420,1077,5,1939,1950,1.0,991.0,5,2fmCon,1.5Unf,TA,BrkSide,118000.0,116173.81
9790,1342,7,1967,1967,2.0,1372.0,6,1Fam,1Story,TA,NWAmes,161500.0,158186.4
9545,2234,7,2000,2000,3.0,1160.0,8,1Fam,2Story,Gd,NoRidge,300000.0,300858.6
6900,1251,6,1938,2000,1.0,827.0,6,1Fam,1.5Fin,Fa,OldTown,119000.0,121498.38
32668,2515,9,1957,1975,2.0,2035.0,6,1Fam,1Story,TA,Crawfor,200624.0,251595.56
9600,1051,6,1968,1968,2.0,1051.0,5,1Fam,1Story,TA,NAmes,142000.0,139536.06
7875,1144,6,1961,1961,2.0,1144.0,5,1Fam,1Story,TA,NAmes,139950.0,140415.64
8769,1190,5,2005,2005,2.0,1169.0,7,1Fam,1Story,Gd,CollgCr,173500.0,183893.94
8924,1724,8,1998,1999,2.0,880.0,7,1Fam,2Story,Gd,CollgCr,188000.0,204529.17
9610,1336,7,1958,1958,2.0,1121.0,6,1Fam,1Story,TA,NAmes,162000.0,152942.86
3696,1088,5,1986,1986,2.0,1074.0,8,TwnhsE,1Story,Gd,Other,170000.0,176895.6
11949,1755,7,1991,2008,2.0,975.0,7,1Fam,2Story,Gd,NoRidge,235000.0,221091.7
9400,980,4,1975,1975,0.0,945.0,6,Duplex,SFoyer,TA,Edwards,127500.0,121400.164
7200,1040,6,1949,1950,2.0,0.0,4,Duplex,1Story,TA,NAmes,90000.0,85655.13
8500,1317,6,1920,1950,1.0,649.0,4,1Fam,2Story,TA,IDOTRR,40000.0,96390.05
6285,894,5,1977,1977,1.0,894.0,5,1Fam,1Story,TA,Sawyer,120750.0,121148.266
10400,1779,6,1998,1998,2.0,866.0,7,1Fam,2Story,Gd,CollgCr,197900.0,215773.08
10625,2046,8,2003,2004,3.0,998.0,7,1Fam,2Story,Gd,NridgHt,284000.0,243310.02
4608,747,4,1945,1950,1.0,747.0,4,1Fam,1Story,TA,OldTown,80000.0,78655.78
13600,1056,6,1955,1955,1.0,1056.0,5,1Fam,1Story,TA,NAmes,125000.0,134474.5
18261,2000,8,2005,2005,3.0,1910.0,9,1Fam,1Story,Ex,Other,470000.0,386262.47
9337,1786,7,1997,1997,2.0,824.0,6,1Fam,2Story,Gd,CollgCr,204750.0,204105.17
9000,1174,6,1900,2006,2.0,680.0,5,1Fam,1.5Fin,Gd,OldTown,135000.0,127528.32
9392,797,5,1900,1950,0.0,245.0,3,1Fam,1Story,TA,IDOTRR,44000.0,54174.93
6240,1176,6,1934,1950,2.0,816.0,6,1Fam,1.5Fin,TA,BrkSide,114500.0,132753.78
5400,599,4,1940,1950,0.0,416.0,2,1Fam,1Story,Gd,OldTown,59000.0,50619.81
1680,1092,6,1971,1971,1.0,525.0,5,Twnhs,2Story,TA,Other,105500.0,96049.516
11927,1592,7,1994,1995,2.0,1556.0,8,1Fam,1Story,Gd,CollgCr,228000.0,242948.06
9066,1852,7,1999,2000,3.0,1004.0,8,1Fam,2Story,Gd,CollgCr,230000.0,249111.8
12220,2020,9,2009,2009,3.0,2006.0,10,1Fam,1Story,Ex,NridgHt,402861.0,393049.7
9000,1792,8,1974,1974,2.0,896.0,5,Duplex,2Story,TA,NAmes,133000.0,141395.27
8993,1302,6,2007,2007,2.0,1302.0,7,1Fam,1Story,Gd,Gilbert,176485.0,191027.19
13400,1086,6,1966,1966,2.0,1024.0,5,1Fam,SLvl,TA,NAmes,159950.0,150291.2
6360,1453,7,1942,1950,1.0,835.0,5,1Fam,1.5Fin,Gd,BrkSide,132000.0,135677.28
6000,928,5,1957,1957,1.0,928.0,5,1Fam,1Story,TA,OldTown,112500.0,112009.03
9920,971,5,1969,1969,1.0,971.0,5,1Fam,1Story,TA,CollgCr,128500.0,131122.95
9525,1099,6,1995,2006,1.0,1099.0,5,1Fam,1Story,Gd,CollgCr,144000.0,151612.47
9801,1861,7,2007,2007,3.0,1341.0,8,1Fam,2Story,Gd,Somerst,257000.0,265596.56
7500,1246,6,1959,1994,1.0,1246.0,5,1Fam,1Story,Gd,NAmes,154000.0,145926.8
13615,1802,7,2006,2006,3.0,1802.0,9,1Fam,1Story,Ex,NridgHt,372000.0,337628.66
11250,2290,9,2002,2002,2.0,1128.0,8,1Fam,2Story,Gd,CollgCr,255900.0,280343.53
9525,1172,5,1954,1998,1.0,1172.0,5,1Fam,1Story,TA,Edwards,128000.0,138453.61
3180,1200,4,2005,2005,2.0,600.0,7,TwnhsE,2Story,Gd,Somerst,144152.0,156250.75
4060,864,4,1922,1950,0.0,864.0,5,1Fam,1Story,TA,Edwards,99900.0,77423.25
13693,2643,9,2006,2006,3.0,2153.0,9,1Fam,2Story,Ex,NridgHt,380000.0,457698.0
39384,1390,4,1957,1957,2.0,1705.0,6,1Fam,1Story,Ex,NAmes,252000.0,207484.94
3843,1648,5,2007,2008,2.0,1596.0,8,TwnhsE,1Story,Ex,Crawfor,294464.0,278264.03
11920,1659,8,2004,2004,2.0,831.0,7,1Fam,2Story,Gd,SawyerW,181000.0,188022.89
1869,987,5,1970,1970,1.0,483.0,6,Twnhs,2Story,TA,Other,106000.0,97122.43
9600,1661,8,1955,1996,1.0,992.0,6,1Fam,SLvl,Gd,NAmes,165500.0,160210.64
12735,864,5,1972,1972,2.0,864.0,4,1Fam,1Story,TA,NAmes,111250.0,115717.02
11764,2270,9,1999,2007,3.0,1152.0,8,1Fam,2Story,Gd,NoRidge,290000.0,308904.6
10010,2197,9,1993,1994,3.0,1080.0,7,1Fam,2Story,Gd,NoRidge,287500.0,251405.12
8544,1040,6,1950,1950,2.0,0.0,3,Duplex,1Story,TA,NAmes,92900.0,87874.69
8773,1419,4,2002,2002,2.0,1487.0,6,TwnhsE,1Story,Gd,NAmes,190000.0,185822.95
6371,1358,6,2009,2010,2.0,1358.0,7,TwnhsE,1Story,Gd,NridgHt,224000.0,207468.52
7820,1869,6,2007,2007,2.0,1869.0,9,TwnhsE,1Story,Ex,NridgHt,318061.0,336993.97
11700,1743,7,1968,1968,2.0,702.0,6,1Fam,2Story,TA,NWAmes,175000.0,168201.14
4480,1022,4,1922,1950,1.0,1022.0,5,1Fam,1Story,Fa,OldTown,89500.0,94509.73
4080,1378,6,1935,1998,1.0,901.0,6,1Fam,1.5Fin,Gd,OldTown,128900.0,133316.08
14054,1863,9,2006,2006,3.0,879.0,7,1Fam,2Story,Gd,Gilbert,219210.0,231825.05
9672,1097,6,1984,1985,2.0,1040.0,6,1Fam,1Story,TA,SawyerW,152000.0,152712.56
4590,1554,6,2006,2006,2.0,1554.0,8,Twnhs,1Story,Gd,NridgHt,209500.0,245277.97
4435,848,3,2003,2003,2.0,848.0,6,TwnhsE,1Story,Gd,CollgCr,136500.0,141909.14
4835,1488,6,2004,2005,2.0,1488.0,7,TwnhsE,1Story,Gd,Somerst,260000.0,212600.69
7801,1091,5,1951,1951,1.0,1091.0,6,1Fam,1Story,TA,Crawfor,104000.0,131883.33
3675,1072,5,2005,2005,2.0,547.0,6,TwnhsE,SFoyer,Gd,Edwards,140000.0,144633.3
12168,3194,10,1934,1998,2.0,965.0,8,1Fam,2Story,TA,Crawfor,359100.0,293667.28
1894,1092,6,1970,1970,1.0,546.0,4,TwnhsE,2Story,TA,Other,71000.0,85859.27
10141,1718,7,1998,1998,2.0,832.0,7,1Fam,2Story,TA,Gilbert,185000.0,191576.52
9840,1440,7,1959,1998,1.0,1248.0,5,1Fam,1Story,Gd,NAmes,185000.0,157117.42
9179,1790,7,1999,1999,2.0,873.0,7,1Fam,2Story,Gd,CollgCr,193000.0,210579.58
4800,1360,6,1910,2003,1.0,680.0,5,1Fam,2Story,TA,OldTown,111000.0,117299.8
9549,1494,6,1995,1996,2.0,1494.0,8,TwnhsE,1Story,Ex,Other,270000.0,249664.3
5587,1652,5,2008,2008,2.0,1600.0,8,TwnhsE,1Story,Gd,Crawfor,392500.0,268999.12
14154,2172,9,2006,2006,3.0,1063.0,7,1Fam,2Story,Gd,NridgHt,280000.0,263295.28
2572,1416,6,1999,1999,2.0,696.0,7,Twnhs,2Story,Gd,Somerst,155000.0,158042.39
10800,1773,6,1961,1992,2.0,1313.0,6,1Fam,1Story,TA,NAmes,183000.0,173412.4
10562,2161,8,2007,2007,3.0,1582.0,8,1Fam,2Story,Ex,NridgHt,325624.0,325182.34
3628,1143,5,2004,2004,2.0,1143.0,7,TwnhsE,1Story,Gd,Somerst,176400.0,166717.36
6853,1296,6,2001,2002,2.0,1267.0,8,1Fam,1Story,Gd,Other,220000.0,207061.52
17120,1588,7,1959,1959,2.0,0.0,4,1Fam,1.5Fin,TA,Other,134432.0,135701.22
2645,1441,5,1999,2000,2.0,776.0,8,Twnhs,2Story,Gd,Somerst,174000.0,189082.73
13214,2018,10,2008,2009,3.0,2002.0,9,1Fam,1Story,Ex,Other,378500.0,372977.88
10667,1661,6,1996,1996,2.0,799.0,7,1Fam,2Story,Gd,CollgCr,212000.0,196649.3
11175,1316,6,2007,2007,2.0,1316.0,7,1Fam,1Story,Gd,CollgCr,200141.0,196699.0
8730,1396,7,1915,2003,1.0,698.0,6,1Fam,2Story,TA,BrkSide,153575.0,140901.23
17227,1341,5,1999,2000,2.0,1341.0,8,1Fam,1Story,Gd,CollgCr,246900.0,227860.55
9839,2237,7,1980,2006,2.0,712.0,6,1Fam,2Story,Gd,Other,204000.0,222315.48
5500,1073,4,2004,2004,1.0,1073.0,7,1Fam,1Story,TA,Other,157000.0,163390.02
12919,2364,11,2009,2010,3.0,2330.0,9,1Fam,1Story,Ex,NridgHt,611657.0,445275.9
23257,2021,9,2006,2006,2.0,868.0,7,1Fam,2Story,Gd,Gilbert,274725.0,232875.6
4426,848,3,2004,2004,2.0,848.0,6,TwnhsE,1Story,Gd,CollgCr,149300.0,143122.05
16158,1530,7,2005,2005,2.0,1530.0,7,1Fam,1Story,Gd,Other,260000.0,238215.84
9543,1690,7,2001,2001,2.0,845.0,7,1Fam,2Story,Gd,CollgCr,190550.0,195702.81
8480,1216,6,1947,1950,1.0,832.0,5,1Fam,1.5Fin,TA,NAmes,118500.0,122878.19
8600,1376,7,1937,1950,1.0,780.0,6,1Fam,1.5Fin,TA,IDOTRR,119500.0,132705.17
3087,1364,6,2006,2006,2.0,1220.0,7,TwnhsE,1Story,Gd,Other,210250.0,171934.95
6956,936,5,1948,1950,1.0,624.0,4,1Fam,1.5Fin,TA,Edwards,97900.0,86518.08
3760,1235,4,1980,1980,2.0,1235.0,8,Twnhs,1Story,TA,Other,214000.0,178092.34
20270,1524,7,1979,1979,2.0,1524.0,7,1Fam,1Story,TA,Other,245000.0,220857.58
11105,965,4,1996,1996,2.0,870.0,5,1Fam,SFoyer,TA,CollgCr,159000.0,146707.8
10400,2161,8,2001,2001,2.0,1257.0,7,1Fam,2Story,Gd,CollgCr,230500.0,240955.83
11207,1511,8,1997,1997,2.0,802.0,6,1Fam,2Story,TA,Gilbert,185000.0,184797.4
11650,1472,5,1959,1959,2.0,0.0,7,1Fam,1Story,Gd,NAmes,157500.0,159097.48
12224,2054,7,2000,2000,2.0,992.0,6,1Fam,2Story,Gd,Gilbert,244000.0,211408.4
9734,1374,7,2004,2004,2.0,384.0,7,1Fam,SLvl,Gd,Gilbert,167000.0,167327.58
